Batch 0 - Dataset Indices: [2, 2], Sample Indices: [2173, 730]
Batch 37 - Dataset Indices: [1, 1], Sample Indices: [18079, 1860]
Batch 38 - Dataset Indices: [0, 0], Sample Indices: [33743, 60151]
Batch 39 - Dataset Indices: [1, 1], Sample Indices: [19234, 8302]
Batch 40 - Dataset Indices: [2, 2], Sample Indices: [3973, 2499]
Batch 41 - Dataset Indices: [1, 1], Sample Indices: [18617, 13464]
Batch 42 - Dataset Indices: [0, 0], Sample Indices: [59976, 4084]
Batch 43 - Dataset Indices: [1, 1], Sample Indices: [14988, 6575]
Batch 44 - Dataset Indices: [0, 0], Sample Indices: [30094, 1289]
Batch 45 - Dataset Indices: [1, 1], Sample Indices: [3352, 4729]
Batch 46 - Dataset Indices: [1, 1], Sample Indices: [5320, 17561]
Batch 47 - Dataset Indices: [0, 0], Sample Indices: [9563, 42128]
Batch 48 - Dataset Indices: [1, 1], Sample Indices: [7090, 2850]
Batch 49 - Dataset Indices: [0, 0], Sample Indices: [3832, 9332]
Batch 50 - Dataset Indices: [1, 1], Sample Indices: [3263, 15526]
Batch 51 - Dataset Indices: [1, 1], Sample Indices: [19479, 9135]
Batch 52 - Dataset Indices: [0, 0], Sample Indices: [6930, 65923]
Batch 53 - Dataset Indices: [1, 1], Sample Indices: [10955, 3917]
Batch 54 - Dataset Indices: [0, 0], Sample Indices: [32357, 8353]
Batch 55 - Dataset Indices: [2, 2], Sample Indices: [5510, 3067]
Batch 56 - Dataset Indices: [0, 0], Sample Indices: [27953, 52779]
Batch 57 - Dataset Indices: [0, 0], Sample Indices: [15921, 15142]
Batch 58 - Dataset Indices: [1, 1], Sample Indices: [4337, 12776]
Batch 59 - Dataset Indices: [1, 1], Sample Indices: [18151, 7400]
Batch 60 - Dataset Indices: [1, 1], Sample Indices: [3372, 14569]
Batch 61 - Dataset Indices: [0, 0], Sample Indices: [45527, 63879]
Batch 62 - Dataset Indices: [2, 2], Sample Indices: [7681, 8802]
Batch 63 - Dataset Indices: [1, 1], Sample Indices: [1821, 11800]
Batch 64 - Dataset Indices: [1, 1], Sample Indices: [14718, 12825]
Batch 65 - Dataset Indices: [2, 2], Sample Indices: [5764, 2811]
Batch 66 - Dataset Indices: [2, 2], Sample Indices: [220, 8299]
Batch 67 - Dataset Indices: [0, 0], Sample Indices: [23686, 33571]
Batch 68 - Dataset Indices: [1, 1], Sample Indices: [16891, 15431]
Batch 69 - Dataset Indices: [2, 2], Sample Indices: [8007, 191]
Batch 70 - Dataset Indices: [2, 2], Sample Indices: [7526, 1153]
Batch 71 - Dataset Indices: [2, 2], Sample Indices: [6831, 2755]
Batch 72 - Dataset Indices: [2, 2], Sample Indices: [2758, 533]
Batch 73 - Dataset Indices: [2, 2], Sample Indices: [2712, 6954]
Batch 74 - Dataset Indices: [2, 2], Sample Indices: [1142, 8302]
Batch 75 - Dataset Indices: [0, 0], Sample Indices: [11753, 48601]
Batch 76 - Dataset Indices: [0, 0], Sample Indices: [61268, 22471]
Batch 77 - Dataset Indices: [0, 0], Sample Indices: [18641, 37991]
Batch 78 - Dataset Indices: [0, 0], Sample Indices: [40354, 69099]
Batch 79 - Dataset Indices: [0, 0], Sample Indices: [53969, 67178]
Batch 80 - Dataset Indices: [1, 1], Sample Indices: [12494, 14199]
Batch 81 - Dataset Indices: [1, 1], Sample Indices: [5365, 16087]
Batch 82 - Dataset Indices: [1, 1], Sample Indices: [3136, 18031]
Batch 83 - Dataset Indices: [0, 0], Sample Indices: [49430, 71797]
Batch 84 - Dataset Indices: [1, 1], Sample Indices: [299, 15132]
Batch 85 - Dataset Indices: [2, 2], Sample Indices: [4284, 8855]
Batch 86 - Dataset Indices: [2, 2], Sample Indices: [4199, 7016]
Batch 87 - Dataset Indices: [2, 2], Sample Indices: [7749, 2359]
Batch 88 - Dataset Indices: [0, 0], Sample Indices: [38431, 58555]
Batch 89 - Dataset Indices: [2, 2], Sample Indices: [5801, 8369]
Batch 90 - Dataset Indices: [1, 1], Sample Indices: [15262, 17913]
Batch 91 - Dataset Indices: [0, 0], Sample Indices: [4602, 14606]
Batch 92 - Dataset Indices: [0, 0], Sample Indices: [61455, 65889]
Batch 93 - Dataset Indices: [0, 0], Sample Indices: [53850, 67073]
Batch 94 - Dataset Indices: [1, 1], Sample Indices: [1587, 16195]
Batch 95 - Dataset Indices: [0, 0], Sample Indices: [41768, 64650]
Batch 96 - Dataset Indices: [2, 2], Sample Indices: [5404, 4552]
Batch 97 - Dataset Indices: [1, 1], Sample Indices: [5710, 2101]
Batch 98 - Dataset Indices: [2, 2], Sample Indices: [5625, 1387]
Batch 99 - Dataset Indices: [2, 2], Sample Indices: [1225, 3048]
Batch 100 - Dataset Indices: [2, 2], Sample Indices: [6531, 6148]
Batch 101 - Dataset Indices: [1, 1], Sample Indices: [15081, 9582]
Batch 102 - Dataset Indices: [1, 1], Sample Indices: [15418, 7610]
Batch 103 - Dataset Indices: [2, 2], Sample Indices: [7034, 6347]
Batch 104 - Dataset Indices: [2, 2], Sample Indices: [5786, 2243]
Batch 105 - Dataset Indices: [1, 1], Sample Indices: [1320, 9932]
Batch 106 - Dataset Indices: [1, 1], Sample Indices: [723, 3494]
Batch 107 - Dataset Indices: [0, 0], Sample Indices: [55205, 14362]
Batch 108 - Dataset Indices: [0, 0], Sample Indices: [26507, 6508]
Batch 109 - Dataset Indices: [1, 1], Sample Indices: [14817, 19282]
Batch 110 - Dataset Indices: [0, 0], Sample Indices: [5533, 35281]
Batch 111 - Dataset Indices: [0, 0], Sample Indices: [6849, 45116]
Batch 112 - Dataset Indices: [2, 2], Sample Indices: [3664, 2357]
Batch 113 - Dataset Indices: [1, 1], Sample Indices: [1936, 10874]
Batch 114 - Dataset Indices: [1, 1], Sample Indices: [12086, 20276]
Batch 115 - Dataset Indices: [0, 0], Sample Indices: [905, 32891]
Batch 116 - Dataset Indices: [2, 2], Sample Indices: [8526, 6474]
Batch 117 - Dataset Indices: [2, 2], Sample Indices: [1035, 7943]
Batch 118 - Dataset Indices: [0, 0], Sample Indices: [6303, 21790]
Batch 119 - Dataset Indices: [0, 0], Sample Indices: [49499, 31135]
Batch 120 - Dataset Indices: [0, 0], Sample Indices: [27343, 55139]
Batch 121 - Dataset Indices: [1, 1], Sample Indices: [16534, 534]
Batch 122 - Dataset Indices: [2, 2], Sample Indices: [8870, 4808]
Batch 123 - Dataset Indices: [1, 1], Sample Indices: [14171, 14718]
Batch 124 - Dataset Indices: [2, 2], Sample Indices: [6900, 2654]
Batch 125 - Dataset Indices: [2, 2], Sample Indices: [1656, 7737]
Batch 126 - Dataset Indices: [0, 0], Sample Indices: [58710, 12465]
Batch 127 - Dataset Indices: [1, 1], Sample Indices: [14881, 4128]
Batch 128 - Dataset Indices: [0, 0], Sample Indices: [5910, 15539]
Batch 129 - Dataset Indices: [1, 1], Sample Indices: [8045, 18137]
Batch 130 - Dataset Indices: [1, 1], Sample Indices: [15690, 19553]
Batch 131 - Dataset Indices: [0, 0], Sample Indices: [62891, 2481]
Batch 132 - Dataset Indices: [2, 2], Sample Indices: [789, 4378]
Batch 133 - Dataset Indices: [0, 0], Sample Indices: [64697, 51836]
Batch 134 - Dataset Indices: [2, 2], Sample Indices: [2155, 8300]
Batch 135 - Dataset Indices: [1, 1], Sample Indices: [18959, 17878]
Batch 136 - Dataset Indices: [0, 0], Sample Indices: [35224, 3783]
Batch 137 - Dataset Indices: [0, 0], Sample Indices: [61418, 7819]
Batch 138 - Dataset Indices: [0, 0], Sample Indices: [932, 19809]
Batch 139 - Dataset Indices: [1, 1], Sample Indices: [80, 1398]
Batch 140 - Dataset Indices: [1, 1], Sample Indices: [20352, 19525]
Batch 141 - Dataset Indices: [0, 0], Sample Indices: [2754, 66767]
Batch 142 - Dataset Indices: [0, 0], Sample Indices: [40475, 26357]
Batch 143 - Dataset Indices: [0, 0], Sample Indices: [21905, 15573]
Batch 144 - Dataset Indices: [1, 1], Sample Indices: [6117, 11235]
Batch 145 - Dataset Indices: [2, 2], Sample Indices: [3432, 1036]
Batch 146 - Dataset Indices: [1, 1], Sample Indices: [19068, 8388]
Batch 147 - Dataset Indices: [0, 0], Sample Indices: [14341, 68536]
Batch 148 - Dataset Indices: [1, 1], Sample Indices: [5018, 1181]
Batch 149 - Dataset Indices: [2, 2], Sample Indices: [2877, 6816]
Batch 150 - Dataset Indices: [0, 0], Sample Indices: [29972, 47586]
Batch 151 - Dataset Indices: [0, 0], Sample Indices: [59927, 25960]
Batch 152 - Dataset Indices: [1, 1], Sample Indices: [5369, 6409]
Batch 153 - Dataset Indices: [0, 0], Sample Indices: [63338, 51342]
Batch 154 - Dataset Indices: [0, 0], Sample Indices: [18309, 29514]
Batch 155 - Dataset Indices: [2, 2], Sample Indices: [3319, 8619]
Batch 156 - Dataset Indices: [0, 0], Sample Indices: [55382, 48688]
Batch 157 - Dataset Indices: [0, 0], Sample Indices: [70585, 5538]
Batch 158 - Dataset Indices: [0, 0], Sample Indices: [45884, 15356]
Batch 159 - Dataset Indices: [1, 1], Sample Indices: [6977, 3003]
Batch 160 - Dataset Indices: [0, 0], Sample Indices: [38903, 65974]
Batch 161 - Dataset Indices: [0, 0], Sample Indices: [45262, 60732]
Batch 162 - Dataset Indices: [1, 1], Sample Indices: [16974, 9276]
Batch 163 - Dataset Indices: [0, 0], Sample Indices: [72099, 55628]
Batch 164 - Dataset Indices: [2, 2], Sample Indices: [4718, 2226]
Batch 165 - Dataset Indices: [2, 2], Sample Indices: [5879, 4900]
Batch 166 - Dataset Indices: [0, 0], Sample Indices: [54975, 57031]
Batch 167 - Dataset Indices: [1, 1], Sample Indices: [10028, 10743]
Batch 168 - Dataset Indices: [1, 1], Sample Indices: [13493, 10223]
Batch 169 - Dataset Indices: [1, 1], Sample Indices: [19791, 922]
Batch 170 - Dataset Indices: [1, 1], Sample Indices: [15059, 15455]
Batch 171 - Dataset Indices: [2, 2], Sample Indices: [8315, 4284]
Batch 172 - Dataset Indices: [2, 2], Sample Indices: [3782, 3661]
Batch 173 - Dataset Indices: [0, 0], Sample Indices: [7972, 27396]
Batch 174 - Dataset Indices: [1, 1], Sample Indices: [5584, 9096]
Batch 175 - Dataset Indices: [2, 2], Sample Indices: [431, 7757]
Batch 176 - Dataset Indices: [1, 1], Sample Indices: [16776, 202]
Batch 177 - Dataset Indices: [1, 1], Sample Indices: [15635, 12547]
Batch 178 - Dataset Indices: [0, 0], Sample Indices: [21697, 17912]
Batch 179 - Dataset Indices: [0, 0], Sample Indices: [12842, 69460]
Batch 180 - Dataset Indices: [2, 2], Sample Indices: [3903, 8570]
Batch 181 - Dataset Indices: [2, 2], Sample Indices: [6944, 5572]
Batch 182 - Dataset Indices: [2, 2], Sample Indices: [732, 1063]
Batch 183 - Dataset Indices: [1, 1], Sample Indices: [9925, 10719]
Batch 184 - Dataset Indices: [0, 0], Sample Indices: [29953, 35464]
Batch 185 - Dataset Indices: [0, 0], Sample Indices: [4179, 54342]
Batch 186 - Dataset Indices: [1, 1], Sample Indices: [12351, 5805]
Batch 187 - Dataset Indices: [2, 2], Sample Indices: [2536, 3188]
Batch 188 - Dataset Indices: [1, 1], Sample Indices: [14451, 18577]
Batch 189 - Dataset Indices: [1, 1], Sample Indices: [9172, 5454]
Batch 190 - Dataset Indices: [1, 1], Sample Indices: [13491, 842]
Batch 191 - Dataset Indices: [1, 1], Sample Indices: [9522, 16600]
Batch 192 - Dataset Indices: [2, 2], Sample Indices: [5767, 4341]
Batch 193 - Dataset Indices: [1, 1], Sample Indices: [50, 17963]
Batch 194 - Dataset Indices: [1, 1], Sample Indices: [13704, 12131]
Batch 195 - Dataset Indices: [1, 1], Sample Indices: [15734, 120]
Batch 196 - Dataset Indices: [2, 2], Sample Indices: [3411, 2401]
Batch 197 - Dataset Indices: [2, 2], Sample Indices: [1311, 982]
Batch 198 - Dataset Indices: [0, 0], Sample Indices: [61676, 33207]
Batch 199 - Dataset Indices: [2, 2], Sample Indices: [8550, 4409]
Batch 200 - Dataset Indices: [1, 1], Sample Indices: [5500, 9762]
Batch 201 - Dataset Indices: [1, 1], Sample Indices: [14380, 9544]
Batch 202 - Dataset Indices: [0, 0], Sample Indices: [30022, 20243]
Batch 203 - Dataset Indices: [1, 1], Sample Indices: [4600, 13566]
Batch 204 - Dataset Indices: [1, 1], Sample Indices: [8324, 810]
Batch 205 - Dataset Indices: [1, 1], Sample Indices: [9548, 1158]
Batch 206 - Dataset Indices: [1, 1], Sample Indices: [8739, 12243]
Batch 207 - Dataset Indices: [0, 0], Sample Indices: [58559, 51596]
Batch 208 - Dataset Indices: [0, 0], Sample Indices: [2506, 60104]
Batch 209 - Dataset Indices: [0, 0], Sample Indices: [52952, 28406]
Batch 210 - Dataset Indices: [2, 2], Sample Indices: [8373, 3235]
Batch 211 - Dataset Indices: [1, 1], Sample Indices: [4483, 9316]
Batch 212 - Dataset Indices: [1, 1], Sample Indices: [5169, 15760]
Batch 213 - Dataset Indices: [2, 2], Sample Indices: [3367, 4136]
Batch 214 - Dataset Indices: [1, 1], Sample Indices: [14359, 14485]
Batch 215 - Dataset Indices: [0, 0], Sample Indices: [59936, 7298]
Batch 216 - Dataset Indices: [0, 0], Sample Indices: [65902, 70094]
Batch 217 - Dataset Indices: [1, 1], Sample Indices: [11394, 17393]
Batch 218 - Dataset Indices: [1, 1], Sample Indices: [16374, 2771]
Batch 219 - Dataset Indices: [0, 0], Sample Indices: [41369, 21282]
Batch 220 - Dataset Indices: [0, 0], Sample Indices: [58415, 31666]
Batch 221 - Dataset Indices: [0, 0], Sample Indices: [64350, 11281]
Batch 222 - Dataset Indices: [0, 0], Sample Indices: [68829, 21409]
Batch 223 - Dataset Indices: [0, 0], Sample Indices: [70196, 21719]
Batch 224 - Dataset Indices: [1, 1], Sample Indices: [7742, 11690]
Batch 225 - Dataset Indices: [2, 2], Sample Indices: [7543, 656]
Batch 226 - Dataset Indices: [2, 2], Sample Indices: [1419, 3501]
Batch 227 - Dataset Indices: [2, 2], Sample Indices: [463, 8559]
Batch 228 - Dataset Indices: [2, 2], Sample Indices: [3676, 2790]
Batch 229 - Dataset Indices: [0, 0], Sample Indices: [887, 27549]
Batch 230 - Dataset Indices: [2, 2], Sample Indices: [6943, 8444]
Batch 231 - Dataset Indices: [0, 0], Sample Indices: [33115, 58826]
Batch 232 - Dataset Indices: [1, 1], Sample Indices: [1256, 10073]
Batch 233 - Dataset Indices: [2, 2], Sample Indices: [1603, 5958]
Batch 234 - Dataset Indices: [1, 1], Sample Indices: [16575, 17191]
Batch 235 - Dataset Indices: [1, 1], Sample Indices: [5655, 9599]
Batch 236 - Dataset Indices: [2, 2], Sample Indices: [323, 6735]
Batch 237 - Dataset Indices: [2, 2], Sample Indices: [1039, 3761]
Batch 238 - Dataset Indices: [2, 2], Sample Indices: [3034, 6504]
Batch 239 - Dataset Indices: [2, 2], Sample Indices: [2418, 7911]
Batch 240 - Dataset Indices: [2, 2], Sample Indices: [8915, 2658]
Batch 241 - Dataset Indices: [0, 0], Sample Indices: [64813, 3691]
Batch 242 - Dataset Indices: [2, 2], Sample Indices: [5811, 3252]
Batch 243 - Dataset Indices: [0, 0], Sample Indices: [46647, 5283]
Batch 244 - Dataset Indices: [0, 0], Sample Indices: [50260, 35584]
Batch 245 - Dataset Indices: [0, 0], Sample Indices: [18501, 42255]
Batch 246 - Dataset Indices: [1, 1], Sample Indices: [15539, 20264]
Batch 247 - Dataset Indices: [1, 1], Sample Indices: [17663, 2451]
Batch 248 - Dataset Indices: [1, 1], Sample Indices: [20185, 8242]
Batch 249 - Dataset Indices: [2, 2], Sample Indices: [6333, 2737]
Batch 250 - Dataset Indices: [1, 1], Sample Indices: [2545, 1429]
Batch 251 - Dataset Indices: [0, 0], Sample Indices: [53445, 48017]
Batch 252 - Dataset Indices: [2, 2], Sample Indices: [2748, 4658]
Batch 253 - Dataset Indices: [2, 2], Sample Indices: [7023, 503]
Batch 254 - Dataset Indices: [0, 0], Sample Indices: [66852, 62518]
Batch 255 - Dataset Indices: [0, 0], Sample Indices: [34077, 47605]
Batch 256 - Dataset Indices: [2, 2], Sample Indices: [6727, 7224]
Batch 257 - Dataset Indices: [2, 2], Sample Indices: [7899, 2642]
Batch 258 - Dataset Indices: [2, 2], Sample Indices: [145, 2405]
Batch 259 - Dataset Indices: [0, 0], Sample Indices: [11215, 15083]
Batch 260 - Dataset Indices: [1, 1], Sample Indices: [14706, 7206]
Batch 261 - Dataset Indices: [1, 1], Sample Indices: [15583, 11317]
Batch 262 - Dataset Indices: [2, 2], Sample Indices: [6800, 3554]
Batch 263 - Dataset Indices: [1, 1], Sample Indices: [19161, 8675]
Batch 264 - Dataset Indices: [2, 2], Sample Indices: [6488, 6120]
Batch 265 - Dataset Indices: [1, 1], Sample Indices: [3622, 4004]
Batch 266 - Dataset Indices: [2, 2], Sample Indices: [1003, 6006]
Batch 267 - Dataset Indices: [1, 1], Sample Indices: [15830, 13747]
Batch 268 - Dataset Indices: [1, 1], Sample Indices: [16479, 12873]
Batch 269 - Dataset Indices: [0, 0], Sample Indices: [63184, 73233]
Batch 270 - Dataset Indices: [2, 2], Sample Indices: [7655, 1992]
Batch 271 - Dataset Indices: [1, 1], Sample Indices: [4274, 10246]
Batch 272 - Dataset Indices: [0, 0], Sample Indices: [72329, 5880]
Batch 273 - Dataset Indices: [0, 0], Sample Indices: [52856, 6674]
Batch 274 - Dataset Indices: [2, 2], Sample Indices: [155, 2921]
Batch 275 - Dataset Indices: [2, 2], Sample Indices: [5639, 4657]
Batch 276 - Dataset Indices: [0, 0], Sample Indices: [62560, 36024]
Batch 277 - Dataset Indices: [0, 0], Sample Indices: [19765, 11484]
Batch 278 - Dataset Indices: [0, 0], Sample Indices: [53780, 35221]
Batch 279 - Dataset Indices: [1, 1], Sample Indices: [269, 2050]
Batch 280 - Dataset Indices: [2, 2], Sample Indices: [6494, 1424]
Batch 281 - Dataset Indices: [0, 0], Sample Indices: [19899, 44813]
Batch 282 - Dataset Indices: [2, 2], Sample Indices: [7552, 1912]
Batch 283 - Dataset Indices: [0, 0], Sample Indices: [25729, 23822]
Batch 284 - Dataset Indices: [0, 0], Sample Indices: [34571, 7386]
Batch 285 - Dataset Indices: [0, 0], Sample Indices: [14817, 33090]
Batch 286 - Dataset Indices: [2, 2], Sample Indices: [4885, 4929]
Batch 287 - Dataset Indices: [1, 1], Sample Indices: [14785, 13162]
Batch 288 - Dataset Indices: [1, 1], Sample Indices: [8726, 2505]
Batch 289 - Dataset Indices: [1, 1], Sample Indices: [5394, 6764]
Batch 290 - Dataset Indices: [1, 1], Sample Indices: [1012, 7602]
Batch 291 - Dataset Indices: [1, 1], Sample Indices: [11206, 6572]
Batch 292 - Dataset Indices: [2, 2], Sample Indices: [7941, 4404]
Batch 293 - Dataset Indices: [1, 1], Sample Indices: [6289, 10713]
Batch 294 - Dataset Indices: [0, 0], Sample Indices: [66666, 61347]
Batch 295 - Dataset Indices: [2, 2], Sample Indices: [6829, 5283]
Batch 296 - Dataset Indices: [2, 2], Sample Indices: [2300, 5095]
Batch 297 - Dataset Indices: [0, 0], Sample Indices: [13246, 55112]
Batch 298 - Dataset Indices: [1, 1], Sample Indices: [14131, 1432]
Batch 299 - Dataset Indices: [0, 0], Sample Indices: [39432, 37372]
Batch 300 - Dataset Indices: [1, 1], Sample Indices: [12632, 4095]
Batch 301 - Dataset Indices: [0, 0], Sample Indices: [69833, 31793]
Batch 302 - Dataset Indices: [1, 1], Sample Indices: [11372, 20327]
Batch 303 - Dataset Indices: [1, 1], Sample Indices: [19156, 7351]
Batch 304 - Dataset Indices: [1, 1], Sample Indices: [17876, 17193]
Batch 305 - Dataset Indices: [0, 0], Sample Indices: [46825, 54439]
Batch 306 - Dataset Indices: [1, 1], Sample Indices: [8003, 11297]
Batch 307 - Dataset Indices: [0, 0], Sample Indices: [20070, 41190]
Batch 308 - Dataset Indices: [0, 0], Sample Indices: [70495, 7343]
Batch 309 - Dataset Indices: [1, 1], Sample Indices: [16439, 11546]
Batch 310 - Dataset Indices: [1, 1], Sample Indices: [6702, 1788]
Batch 311 - Dataset Indices: [1, 1], Sample Indices: [4355, 7086]
Batch 312 - Dataset Indices: [2, 2], Sample Indices: [449, 795]
Batch 313 - Dataset Indices: [0, 0], Sample Indices: [596, 46279]
Batch 314 - Dataset Indices: [1, 1], Sample Indices: [2728, 18751]
Batch 315 - Dataset Indices: [2, 2], Sample Indices: [6916, 1372]
Batch 316 - Dataset Indices: [1, 1], Sample Indices: [14341, 1021]
Batch 317 - Dataset Indices: [1, 1], Sample Indices: [18293, 17525]
Batch 318 - Dataset Indices: [0, 0], Sample Indices: [59086, 29523]
Batch 319 - Dataset Indices: [2, 2], Sample Indices: [260, 7654]
Batch 320 - Dataset Indices: [1, 1], Sample Indices: [9366, 11020]
Batch 321 - Dataset Indices: [0, 0], Sample Indices: [38640, 69611]
Batch 322 - Dataset Indices: [0, 0], Sample Indices: [51665, 60683]
Batch 323 - Dataset Indices: [2, 2], Sample Indices: [8896, 5599]
Batch 324 - Dataset Indices: [0, 0], Sample Indices: [32649, 42891]
Batch 325 - Dataset Indices: [1, 1], Sample Indices: [15805, 7102]
Batch 326 - Dataset Indices: [1, 1], Sample Indices: [10156, 9508]
Batch 327 - Dataset Indices: [0, 0], Sample Indices: [15955, 25873]
Batch 328 - Dataset Indices: [2, 2], Sample Indices: [3321, 1132]
Batch 329 - Dataset Indices: [1, 1], Sample Indices: [9685, 970]
Batch 330 - Dataset Indices: [0, 0], Sample Indices: [25039, 24210]
Batch 331 - Dataset Indices: [0, 0], Sample Indices: [22017, 30986]
Batch 332 - Dataset Indices: [1, 1], Sample Indices: [14583, 18217]
Batch 333 - Dataset Indices: [0, 0], Sample Indices: [50367, 22298]
Batch 334 - Dataset Indices: [0, 0], Sample Indices: [22712, 2873]
Batch 335 - Dataset Indices: [2, 2], Sample Indices: [5743, 5446]
Batch 336 - Dataset Indices: [1, 1], Sample Indices: [14353, 2375]
Batch 337 - Dataset Indices: [1, 1], Sample Indices: [8760, 18]
Batch 338 - Dataset Indices: [1, 1], Sample Indices: [2922, 4951]
Batch 339 - Dataset Indices: [1, 1], Sample Indices: [1724, 13106]
Batch 340 - Dataset Indices: [1, 1], Sample Indices: [18750, 13527]
Batch 341 - Dataset Indices: [2, 2], Sample Indices: [7359, 1355]
Batch 342 - Dataset Indices: [0, 0], Sample Indices: [48125, 21845]
Batch 343 - Dataset Indices: [1, 1], Sample Indices: [11803, 2916]
Batch 344 - Dataset Indices: [2, 2], Sample Indices: [5134, 2293]
Batch 345 - Dataset Indices: [0, 0], Sample Indices: [64111, 12668]
Batch 346 - Dataset Indices: [1, 1], Sample Indices: [17439, 17173]
Batch 347 - Dataset Indices: [2, 2], Sample Indices: [997, 6291]
Batch 348 - Dataset Indices: [2, 2], Sample Indices: [712, 8904]
Batch 349 - Dataset Indices: [2, 2], Sample Indices: [512, 3988]
Batch 350 - Dataset Indices: [0, 0], Sample Indices: [30255, 64984]
Batch 351 - Dataset Indices: [0, 0], Sample Indices: [57284, 44180]
Batch 352 - Dataset Indices: [1, 1], Sample Indices: [10907, 132]
Batch 353 - Dataset Indices: [0, 0], Sample Indices: [43234, 13351]
Batch 354 - Dataset Indices: [0, 0], Sample Indices: [54519, 52751]
Batch 355 - Dataset Indices: [1, 1], Sample Indices: [10371, 18790]
Batch 356 - Dataset Indices: [1, 1], Sample Indices: [9419, 5121]
Batch 357 - Dataset Indices: [2, 2], Sample Indices: [8351, 6495]
Batch 358 - Dataset Indices: [1, 1], Sample Indices: [7901, 4908]
Batch 359 - Dataset Indices: [2, 2], Sample Indices: [3931, 1963]
Batch 360 - Dataset Indices: [1, 1], Sample Indices: [15601, 14962]
Batch 361 - Dataset Indices: [1, 1], Sample Indices: [3787, 9648]
Batch 362 - Dataset Indices: [0, 0], Sample Indices: [37388, 29560]
Batch 363 - Dataset Indices: [2, 2], Sample Indices: [3814, 61]
Batch 364 - Dataset Indices: [0, 0], Sample Indices: [59827, 66186]
Batch 365 - Dataset Indices: [2, 2], Sample Indices: [564, 5556]
Batch 366 - Dataset Indices: [1, 1], Sample Indices: [17590, 1701]
Batch 367 - Dataset Indices: [0, 0], Sample Indices: [70455, 9814]
Batch 368 - Dataset Indices: [0, 0], Sample Indices: [67379, 21716]
Batch 369 - Dataset Indices: [2, 2], Sample Indices: [255, 5023]
Batch 370 - Dataset Indices: [1, 1], Sample Indices: [18238, 8216]
Batch 371 - Dataset Indices: [0, 0], Sample Indices: [27512, 21835]
Batch 372 - Dataset Indices: [1, 1], Sample Indices: [10240, 4836]
Batch 373 - Dataset Indices: [2, 2], Sample Indices: [8220, 900]
Batch 374 - Dataset Indices: [0, 0], Sample Indices: [146, 34530]
Batch 375 - Dataset Indices: [1, 1], Sample Indices: [11840, 1945]
Batch 376 - Dataset Indices: [0, 0], Sample Indices: [40265, 66755]
Batch 377 - Dataset Indices: [0, 0], Sample Indices: [18776, 47518]
